subject_id,n_sessions,sessions
sub-NDARINV0GVW93X6,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0GZN1747,1,ses-2YearFollowUpYArm1
sub-NDARINV0H05G0TR,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0HALXUFY,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0HH094Z9,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0JGVD4F3,1,ses-baselineYear1Arm1
sub-NDARINV0JR6Y529,1,ses-2YearFollowUpYArm1
sub-NDARINV0JVUB582,1,ses-baselineYear1Arm1
sub-NDARINV0JW2EU4V,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0JXBZBV9,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0K1RBPXM,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0K37T6VD,1,ses-baselineYear1Arm1
sub-NDARINV0KPZW3NB,2,ses-2YearFollowUpYArm1;ses-4YearFollowUpYArm1
sub-NDARINV0KYBPJ2A,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0KZBEH7F,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0L1GB53L,1,ses-2YearFollowUpYArm1
sub-NDARINV0L7K5UMC,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0LA6MBBY,1,ses-2YearFollowUpYArm1
sub-NDARINV0LN1KD13,1,ses-baselineYear1Arm1
sub-NDARINV0LXYGL0Y,1,ses-baselineYear1Arm1
sub-NDARINV0MCARYLD,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0MF9V4P1,1,ses-baselineYear1Arm1
sub-NDARINV0ML93ZXT,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0MRY4Z3E,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0MXJ7AZN,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0N0JE94U,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0NLL2KYE,1,ses-2YearFollowUpYArm1
sub-NDARINV0P34UPZ9,1,ses-baselineYear1Arm1
sub-NDARINV0P4FUMM3,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0P4XZMZA,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0PJ81CA5,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0PLKFP06,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0R5220TJ,1,ses-baselineYear1Arm1
sub-NDARINV0RL1BGTN,1,ses-baselineYear1Arm1
sub-NDARINV0T7889MV,3,ses-2YearFollowUpYArm1;ses-4YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0TRD5ZK4,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0TTJA443,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0U1JRFPK,1,ses-baselineYear1Arm1
sub-NDARINV0UA1UW6C,1,ses-2YearFollowUpYArm1
sub-NDARINV0ULZKXXG,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0UV5WZUN,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0V139J8T,1,ses-2YearFollowUpYArm1
sub-NDARINV0V1TNU11,1,ses-2YearFollowUpYArm1
sub-NDARINV0V1TYBKE,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0VBJ9TP2,1,ses-baselineYear1Arm1
sub-NDARINV0VVG7LYB,1,ses-baselineYear1Arm1
sub-NDARINV0W0932W4,1,ses-2YearFollowUpYArm1
sub-NDARINV0W4WA8RV,3,ses-2YearFollowUpYArm1;ses-4YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0WELU60J,1,ses-2YearFollowUpYArm1
sub-NDARINV0WHFCZKU,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0WTM31V7,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0WXLR6V1,1,ses-baselineYear1Arm1
sub-NDARINV0X02CUCY,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0XH07MZ8,1,ses-baselineYear1Arm1
sub-NDARINV0XKVPBB0,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0XTAYD1B,1,ses-2YearFollowUpYArm1
sub-NDARINV0XTVAGV2,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0Y9F2PL1,1,ses-2YearFollowUpYArm1
sub-NDARINV0YE7L9KU,3,ses-2YearFollowUpYArm1;ses-4YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0YLLNXRL,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0ZAYELPK,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0ZPPK2ML,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV0ZTJ2432,1,ses-2YearFollowUpYArm1
sub-NDARINV101HGWPC,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV102P9DCN,3,ses-2YearFollowUpYArm1;ses-4YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV109GUWFN,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV10DN9UHY,1,ses-2YearFollowUpYArm1
sub-NDARINV10K9CVX2,1,ses-baselineYear1Arm1
sub-NDARINV10TEADFM,1,ses-baselineYear1Arm1
sub-NDARINV10ZLTFJZ,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV114VT9DX,3,ses-2YearFollowUpYArm1;ses-4YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV11E1FCZ0,1,ses-baselineYear1Arm1
sub-NDARINV11ZVVFHK,1,ses-baselineYear1Arm1
sub-NDARINV1285PMCK,3,ses-2YearFollowUpYArm1;ses-4YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV12WR8W3U,1,ses-2YearFollowUpYArm1
sub-NDARINV1378XGLA,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV13AC41PB,1,ses-baselineYear1Arm1
sub-NDARINV13L3YFFP,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV13MV0VA7,2,ses-2YearFollowUpYArm1;ses-4YearFollowUpYArm1
sub-NDARINV13NMXD4V,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV145EPB4G,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV14C1N3KZ,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV14PNN5H9,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV14R3MHDX,1,ses-baselineYear1Arm1
sub-NDARINV1535421B,3,ses-2YearFollowUpYArm1;ses-4YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1555HTEC,1,ses-2YearFollowUpYArm1
sub-NDARINV155U91DU,1,ses-2YearFollowUpYArm1
sub-NDARINV158CYMLK,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV15MX84A5,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV15YZBNE0,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV165NRNVG,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV16C687G5,3,ses-2YearFollowUpYArm1;ses-4YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV16GY1RE8,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV16PJ1RJ6,1,ses-baselineYear1Arm1
sub-NDARINV170X8DA0,1,ses-baselineYear1Arm1
sub-NDARINV17K4X0WD,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV17UGGHGJ,1,ses-baselineYear1Arm1
sub-NDARINV17UL1T8L,1,ses-baselineYear1Arm1
sub-NDARINV182YC0D9,1,ses-baselineYear1Arm1
sub-NDARINV18BE29T0,1,ses-2YearFollowUpYArm1
sub-NDARINV18E23PK7,1,ses-baselineYear1Arm1
sub-NDARINV18HXV64A,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV193D4YEK,1,ses-2YearFollowUpYArm1
sub-NDARINV19BR9YHW,1,ses-baselineYear1Arm1
sub-NDARINV19FYU534,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV19GEFHUC,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV19GP5HLJ,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV19LRBB0U,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV19WE0FYW,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV19ZM2GTU,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1AA2VG9C,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1ACWERC3,1,ses-baselineYear1Arm1
sub-NDARINV1AFNKM8M,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1AKMLL9A,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1AYXT588,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1B7G7LND,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1BE1UD48,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1BTYWJDX,3,ses-2YearFollowUpYArm1;ses-4YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1BUXN6LH,1,ses-baselineYear1Arm1
sub-NDARINV1BZ0TUT9,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1CTLWW8V,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1D95ZF1L,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1DDX454E,2,ses-4YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1DWXEPTR,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1DZ2VF5K,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1E2PBKXL,1,ses-baselineYear1Arm1
sub-NDARINV1E2WJC9K,2,ses-4YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1E4F8UMB,2,ses-4YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1EECRFPM,3,ses-2YearFollowUpYArm1;ses-4YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1EGW0J5N,1,ses-2YearFollowUpYArm1
sub-NDARINV1ERNH60J,1,ses-4YearFollowUpYArm1
sub-NDARINV1F5BKK61,1,ses-baselineYear1Arm1
sub-NDARINV1F5JEP46,3,ses-2YearFollowUpYArm1;ses-4YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1F6MVGKL,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1F6UNTXD,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1FDC7YAJ,1,ses-baselineYear1Arm1
sub-NDARINV1FGBFDT9,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1GL1F6FK,2,ses-4YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1GVYL05C,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1H7JEJW1,3,ses-2YearFollowUpYArm1;ses-4YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1HKCTUW1,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1JC1WW5Y,1,ses-baselineYear1Arm1
sub-NDARINV1JGK90HZ,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1JXDFV9Z,3,ses-2YearFollowUpYArm1;ses-4YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1JZ17724,1,ses-baselineYear1Arm1
sub-NDARINV1K2D2FB3,1,ses-2YearFollowUpYArm1
sub-NDARINV1K3LDK3L,3,ses-2YearFollowUpYArm1;ses-4YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1KHXW139,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1KP8VFVR,3,ses-2YearFollowUpYArm1;ses-4YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1KWBW4RD,1,ses-baselineYear1Arm1
sub-NDARINV1LC5DBRK,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1LD87ZGJ,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1LX1A3TR,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1M0VVR9Y,1,ses-2YearFollowUpYArm1
sub-NDARINV1MF1L9LR,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1MFM0HL1,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1MGXHNDZ,1,ses-2YearFollowUpYArm1
sub-NDARINV1N2R407U,1,ses-baselineYear1Arm1
sub-NDARINV1NBP7WNB,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1NJK6BVY,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1NJVJ6VN,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1NV489TJ,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1NW3HM13,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1NZMD6UK,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1P46E6AP,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1P7L5P3B,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1P86DC69,1,ses-baselineYear1Arm1
sub-NDARINV1PATDM0H,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1PE0ZVR4,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1PE2WZWB,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1PHTC329,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1PXG26KK,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1R4G3839,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1R4UUF8E,1,ses-2YearFollowUpYArm1
sub-NDARINV1R7RYN1P,1,ses-2YearFollowUpYArm1
sub-NDARINV1TM2HNZW,1,ses-baselineYear1Arm1
sub-NDARINV1TWMU0JK,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1U3RR4GV,3,ses-2YearFollowUpYArm1;ses-4YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1U4C4M56,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1UC493JJ,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1UHL5BY3,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1UWWV5JP,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1V08GVK8,1,ses-baselineYear1Arm1
sub-NDARINV1V7XPJKR,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1V9TCMZW,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1VCGLA8W,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1VXVRPHJ,1,ses-baselineYear1Arm1
sub-NDARINV1WUAF4RW,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1WVHVGH7,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1X8K8NC3,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1Y1Z29D0,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1Y3BE09E,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1Y40DZT8,3,ses-2YearFollowUpYArm1;ses-4YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1YDZ2XE4,1,ses-baselineYear1Arm1
sub-NDARINV1YMR3GY5,1,ses-2YearFollowUpYArm1
sub-NDARINV1Z1PW22B,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1Z2F3AA0,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1ZK55NV1,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1ZKDLXEY,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV1ZMK9GCG,1,ses-2YearFollowUpYArm1
sub-NDARINV1ZPJCKVC,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV20CX5AWW,1,ses-2YearFollowUpYArm1
sub-NDARINV20E0WX7L,1,ses-2YearFollowUpYArm1
sub-NDARINV20MDTUZ8,1,ses-baselineYear1Arm1
sub-NDARINV20MXZPW5,2,ses-4YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV21C5BFGC,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV21CN9606,1,ses-baselineYear1Arm1
sub-NDARINV21KEUZ1N,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV21VH8BF0,1,ses-baselineYear1Arm1
sub-NDARINV21YRAN0R,3,ses-2YearFollowUpYArm1;ses-4YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV21YVF1WJ,2,ses-4YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV21ZAXTA3,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV227DRH6R,1,ses-2YearFollowUpYArm1
sub-NDARINV22BFDVEJ,1,ses-baselineYear1Arm1
sub-NDARINV22C4YKXN,2,ses-4YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV22F4J621,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV22GE0DMV,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV22GRHDPN,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV22LW15TV,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV2358EMKW,1,ses-baselineYear1Arm1
sub-NDARINV23XZD51D,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV2434XTZV,1,ses-2YearFollowUpYArm1
sub-NDARINV243VF1J7,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV248BF2KE,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV249JM0NY,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV249R6TFP,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV24D005FC,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV24LWV4C5,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV24V8FLZ3,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV24YLW97V,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV24Z1RUE9,2,ses-2YearFollowUpYArm1;ses-4YearFollowUpYArm1
sub-NDARINV25TV4HPX,1,ses-baselineYear1Arm1
sub-NDARINV25UXU689,2,ses-2YearFollowUpYArm1;ses-baselineYear1Arm1
sub-NDARINV25Z294MY,1,ses-2YearFollowUpYArm1
